text,category
Amazon Prime Streaming subscription Amazon Prime,Entertainment
Zostel Two night stay at Zostel,Accommodation
general expense,Other
PharmEasy Bought prescription drugs from PharmEasy,Medical
Lemon Tree Hotel Business trip lodging Lemon Tree Hotel,Accommodation
HP Store Whiteboard markers from HP Store,Office Supplies
Vistara Train reservation via Vistara,Travel
Vistara Intercity travel booked on Vistara,Travel
Amazon Business Whiteboard markers from Amazon Business,Office Supplies
Blablacar Train reservation via Blablacar,Travel
McDonalds Breakfast at McDonalds during offsite,Food
Uber Taxi fare Uber for client visit,Travel
Vistara Cab ride to office booked on Vistara,Travel
Whitebook Stationers Stationery order from Whitebook Stationers,Office Supplies
Pizza Hut Food order Pizza Hut for review meeting,Food
Croma Bought a monitor stand from Croma,Office Supplies
Holiday Inn Overnight stay Holiday Inn near client office,Accommodation
Radisson Blu Overnight stay Radisson Blu near client office,Accommodation
The Leela Business trip lodging The Leela,Accommodation
Stationery Mart Stationery order from Stationery Mart,Office Supplies
Bank Service Charge Bank charges from Bank Service Charge,Other
Game Zone Arcade Concert passes from Game Zone Arcade,Entertainment
Amazon purchased a wireless keyboard,Office Supplies
Cinepolis Concert passes from Cinepolis,Entertainment
Reliance BigCinemas ticket via Reliance,Entertainment
Health Checkup Centre Pharmacy bill at Health Checkup Centre,Medical
Manipal Hospital Medical reimbursement Manipal Hospital,Medical
Marriott Checked in at Marriott for training,Accommodation
Wonderla Streaming subscription Wonderla,Entertainment
Pen Store Bought notebooks and pens at Pen Store,Office Supplies
Amazon Gift Card Annual membership fee Amazon Gift Card,Other
McDonalds Snacks and beverages from McDonalds,Food
Novotel Business trip lodging Novotel,Accommodation
Cloudnine Clinic Medical reimbursement Cloudnine Clinic,Medical
India Post Repair service payment India Post,Other
Fortis Hospital Purchased medicines from Fortis Hospital,Medical
Reliance office electronics at Reliance Digital,Office Supplies
Wellness Forever Medical reimbursement Wellness Forever,Medical
DTDC Bank charges from DTDC,Other
Cloudnine Clinic Lab tests done at Cloudnine Clinic,Medical
Pizza Hut Team dinner bill from Pizza Hut,Food
Smaaash Entertainment expense Smaaash for offsite,Entertainment
Ola Auto Cab ride to office booked on Ola Auto,Travel
Health Checkup Centre Diagnostic test invoice Health Checkup Centre,Medical
Locksmith Service Courier charges paid to Locksmith Service,Other
Reliance Digital Office supplies restock Reliance Digital,Office Supplies
Metropolis Labs Diagnostic test invoice Metropolis Labs,Medical
Ola Auto Commute to client site using Ola Auto,Travel
Max Healthcare Diagnostic test invoice Max Healthcare,Medical
Miscellaneous Vendor Courier charges paid to Miscellaneous Vendor,Other
Smaaash Movie night booked on Smaaash,Entertainment
Biryani Blues Food order Biryani Blues for review meeting,Food
BookMyShow Recreation event tickets BookMyShow,Entertainment
Zomato Breakfast at Zomato during offsite,Food
McDonalds Business lunch at McDonalds with client,Food
Staples Purchased printer cartridges from Staples,Office Supplies
Theobroma Coffee meeting at Theobroma,Food
Game Zone Arcade Streaming subscription Game Zone Arcade,Entertainment
Swiggy Breakfast at Swiggy during offsite,Food
Bowling Alley Movie night booked on Bowling Alley,Entertainment
India Post Gift for client from India Post,Other
Burger King Food order Burger King for review meeting,Food
cab fare,Travel
Cloudnine Clinic Diagnostic test invoice Cloudnine Clinic,Medical
Cinepolis Team outing movie tickets on Cinepolis,Entertainment
DTDC Postage and mailing DTDC,Other
Zostel Hotel stay at Zostel for conference,Accommodation
team recreation expense,Entertainment
WH Smith Office paper and files from WH Smith,Office Supplies
Treebo Hotels Lodging expense Treebo Hotels for offsite,Accommodation
Metropolis Labs Health checkup at Metropolis Labs,Medical
Croma Desk organizer purchase Croma,Office Supplies
Big Bazaar grocery and food items from Big Bazaar,Food
Radisson Blu Business trip lodging Radisson Blu,Accommodation
Zomato Ordered dinner from Zomato for the team,Food
Smaaash Booked show tickets via Smaaash,Entertainment
Big Bazaar monthly food supplies Big Bazaar,Food
Lemon Tree Hotel Accommodation booked at Lemon Tree Hotel,Accommodation
Airbnb Checked in at Airbnb for training,Accommodation
FASTag Toll Intercity travel booked on FASTag Toll,Travel
Reliance gaming console from Reliance Digital,Entertainment
Repair Services Annual membership fee Repair Services,Other
Biryani Blues Breakfast at Biryani Blues during offsite,Food
Bic Supplies Whiteboard markers from Bic Supplies,Office Supplies
Theobroma Business lunch at Theobroma with client,Food
INOX Recreation event tickets INOX,Entertainment
HP Store Bought notebooks and pens at HP Store,Office Supplies
Swiggy Cafeteria refreshments Swiggy,Food
Ginger Hotel Business trip lodging Ginger Hotel,Accommodation
Treebo Hotels Hotel stay at Treebo Hotels for conference,Accommodation
